site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
0345577330	WEST FORK PIGEON RIVER NEAR RETREAT, NC	02	00060	2014-10-03 21:30:00	EDT	82		2014-10-03 21:36:05
03456100	WEST FORK PIGEON RIVER AT BETHEL, NC	01	00060	2014-10-03 21:30:00	EDT	121		2014-10-03 21:36:05
03456500	EAST FORK PIGEON RIVER NEAR CANTON, NC	02	00060	2014-10-03 21:30:00	EDT	104		2014-10-03 21:38:04
03456991	PIGEON RIVER NEAR CANTON, NC	02	00060	2014-10-03 21:00:00	EDT	123		2014-10-03 21:14:04
03459500	PIGEON RIVER NEAR HEPCO, NC	02	00060	2014-10-03 21:30:00	EDT	238		2014-10-03 21:35:17
03460000	CATALOOCHEE CREEK NEAR CATALOOCHEE, NC	02	00060	2014-10-03 21:30:00	EDT	46		2014-10-03 21:38:04
03460795	PIGEON R BL POWER PLANT NR WATERVILLE, NC	02	00060	2014-10-03 21:15:00	EDT	216		2014-10-03 21:20:03
03463300	SOUTH TOE RIVER NEAR CELO, NC	02	00060	2014-10-03 21:30:00	EDT	106		2014-10-03 21:38:04
03479000	WATAUGA RIVER NEAR SUGAR GROVE, NC	02	00060	2014-10-03 21:30:00	EDT	46		2014-10-03 21:35:17
03500000	LITTLE TENNESSEE RIVER NEAR PRENTISS, NC	02	00060	2014-10-03 21:30:00	EDT	404		2014-10-03 21:38:04
03500240	CARTOOGECHAYE CREEK NEAR FRANKLIN, NC	01	00060	2014-10-03 20:45:00	EDT	75		2014-10-03 20:58:02
03501500	LITTLE TENNESSEE R AT FRANKLIN, NC	01	00060	2014-10-03 21:00:00	EDT	863		2014-10-03 21:19:05
03501975	LITTLE TENNESSEE RIVER AB NC HWY 28 AT IOTLA, NC	02	00060	2014-10-03 21:15:00	EDT	763		2014-10-03 21:22:04
03503000	LITTLE TENNESSEE RIVER AT NEEDMORE, NC	01	00060	2014-10-03 21:15:00	EDT	395		2014-10-03 21:24:03
03504000	NANTAHALA RIVER NEAR RAINBOW SPRINGS, NC	02	00060	2014-10-03 20:30:00	EDT	136		2014-10-03 20:47:08
03505550	NANTAHALA RIVER NEAR HEWITT, NC	02	00060	2014-10-03 21:30:00	EDT	86		2014-10-03 21:35:17
03508050	TUCKASEGEE RIVER AT SR 1172 NR CULLOWHEE, NC	02	00060	2014-10-03 21:15:00	EDT	293		2014-10-03 21:35:17
03510577	TUCKASEGEE RIVER AT BARKER'S CREEK, NC	02	00060	2014-10-03 21:15:00	EDT	552		2014-10-03 21:35:17
03512000	OCONALUFTEE RIVER AT BIRDTOWN, NC	01	00060	2014-10-03 20:30:00	EDT	208		2014-10-03 20:47:08
03513000	TUCKASEGEE RIVER AT BRYSON CITY, NC	01	00060	2014-10-03 21:15:00	EDT	650		2014-10-03 21:28:03
0351706800	CHEOAH RIVER NR BEARPEN GAP NR TAPOCO, NC	02	00060	2014-10-03 21:00:00	EDT	117		2014-10-03 21:19:05
03550000	VALLEY RIVER AT TOMOTLA, NC	02	00060	2014-10-03 21:30:00	EDT	121		2014-10-03 21:38:04
